sl_min_atr_multiple,sl_band_buffer_mult,trade_count,win_rate,expectancy,profit_factor,max_drawdown_pct,sharpe,error
0.25,0.25,5,0.0,-1.6630372327415082,0.0,0.04708006485235142,-4.099183688500418,
0.25,0.375,5,0.0,-1.662650313283463,0.0,0.04634560902897513,-4.172839734854264,
0.25,0.5,5,0.0,-1.4903016974484744,0.0,0.026690457546587398,-3.8325405558486736,
0.3,0.25,5,0.0,-49.13853632790972,0.0,0.023848423629631698,-2.912373962677343,
0.3,0.375,5,0.0,-2.024790673647357,0.0,0.025162521781204872,-3.3316555676401043,
0.3,0.5,5,0.0,-1.4903016974484744,0.0,0.026690457546587398,-3.8325405558486736,
0.35,0.25,5,0.0,-49.13853632790972,0.0,0.023848423629631698,-2.912373962677343,
0.35,0.375,5,0.0,-2.024790673647357,0.0,0.025162521781204872,-3.3316555676401043,
0.35,0.5,5,0.0,-1.4903016974484744,0.0,0.026690457546587398,-3.8325405558486736,
0.4,0.25,5,0.0,-49.13853632790972,0.0,0.023848423629631698,-2.912373962677343,
0.4,0.375,5,0.0,-2.024790673647357,0.0,0.025162521781204872,-3.3316555676401043,
0.4,0.5,5,0.0,-1.4903016974484744,0.0,0.026690457546587398,-3.8325405558486736,
0.45,0.25,5,0.0,-49.13853632790972,0.0,0.023848423629631698,-2.912373962677343,
0.45,0.375,5,0.0,-2.024790673647357,0.0,0.025162521781204872,-3.3316555676401043,
0.45,0.5,5,0.0,-1.4903016974484744,0.0,0.026690457546587398,-3.8325405558486736,
0.5,0.25,5,0.0,-49.13853632790972,0.0,0.023848423629631698,-2.912373962677343,
0.5,0.375,5,0.0,-2.024790673647357,0.0,0.025162521781204872,-3.3316555676401043,
0.5,0.5,5,0.0,-1.4903016974484744,0.0,0.026690457546587398,-3.8325405558486736,
